hora_do_dia,meio_de_pagamento,valor,nome_cafe,periodo_do_dia,dia_da_semana,nome_mes,ordem_dia,ordem_mes,data,hora
21,Alimentação,18.1,Espresso,Noite,Qua,Jan,3,1,2022-01-05,21:16:59.802000
10,Débito,29.36,Cacau,Manhã,Qui,Jan,4,1,2022-01-06,10:19:53.601000
12,Débito,19.06,Espresso,Tarde,Qui,Jan,4,1,2022-01-06,12:20:39.021000
13,Crédito,37.73,Americano com Leite,Tarde,Qui,Jan,4,1,2022-01-06,13:17:39.767000
15,Crédito,19.2,Espresso,Tarde,Qui,Jan,4,1,2022-01-06,15:12:42.278000
16,Débito,28.31,Americano,Tarde,Qui,Jan,4,1,2022-01-06,16:54:31.397000
18,Débito,28.99,Americano,Noite,Qui,Jan,4,1,2022-01-06,18:27:11.891000
20,Débito,29.56,Americano,Noite,Qui,Jan,4,1,2022-01-06,20:47:51.342000
7,Crédito,38.52,Cappuccino,Manhã,Sex,Jan,5,1,2022-01-07,07:51:59.260000
9,Alimentação,40.05,Cappuccino,Manhã,Sex,Jan,5,1,2022-01-07,09:19:27.593000
9,Pix,18.06,Espresso,Manhã,Sex,Jan,5,1,2022-01-07,09:42:00.386000
10,Alimentação,37.01,Latte,Manhã,Sex,Jan,5,1,2022-01-07,10:27:24.094000
11,Débito,27.78,Cacau,Manhã,Sex,Jan,5,1,2022-01-07,11:40:19.321000
11,Crédito,38.96,Americano com Leite,Manhã,Sex,Jan,5,1,2022-01-07,11:44:52.798000
14,Alimentação,38.46,Latte,Tarde,Sex,Jan,5,1,2022-01-07,14:24:19.687000
14,Alimentação,19.11,Espresso,Tarde,Sex,Jan,5,1,2022-01-07,14:42:40.897000
14,Pix,18.48,Espresso,Tarde,Sex,Jan,5,1,2022-01-07,14:56:18.554000
15,Pix,37.12,Chocolate Quente,Tarde,Sex,Jan,5,1,2022-01-07,15:25:08.674000
16,Débito,37.51,Chocolate Quente,Tarde,Sex,Jan,5,1,2022-01-07,16:27:44.126000
17,Débito,39.18,Americano com Leite,Tarde,Sex,Jan,5,1,2022-01-07,17:54:46.764000
18,Alimentação,28.18,Americano,Noite,Sex,Jan,5,1,2022-01-07,18:07:53.236000
18,Alimentação,37.32,Latte,Noite,Sex,Jan,5,1,2022-01-07,18:26:56.679000
20,Débito,19.32,Espresso,Noite,Sex,Jan,5,1,2022-01-07,20:04:49.788000
21,Crédito,29.98,Cortado,Noite,Sex,Jan,5,1,2022-01-07,21:52:20.017000
6,Crédito,29.29,Cortado,Manhã,Sáb,Jan,6,1,2022-01-08,06:36:14.142000
10,Débito,38.96,Americano com Leite,Manhã,Sáb,Jan,6,1,2022-01-08,10:58:55.001000
17,Crédito,38.08,Cappuccino,Tarde,Sáb,Jan,6,1,2022-01-08,17:39:54.328000
20,Crédito,27.63,Cacau,Noite,Sáb,Jan,6,1,2022-01-08,20:52:26.418000
8,Pix,37.06,Americano com Leite,Manhã,Dom,Jan,7,1,2022-01-09,08:59:52.869000
9,Débito,28.82,Cortado,Manhã,Dom,Jan,7,1,2022-01-09,09:41:33.934000
9,Pix,38.55,Cappuccino,Manhã,Dom,Jan,7,1,2022-01-09,09:50:12.299000
11,Crédito,18.32,Espresso,Manhã,Dom,Jan,7,1,2022-01-09,11:59:06.397000
12,Alimentação,19.1,Espresso,Tarde,Dom,Jan,7,1,2022-01-09,12:03:23.107000
14,Alimentação,39.95,Latte,Tarde,Dom,Jan,7,1,2022-01-09,14:02:03.747000
15,Alimentação,28.95,Cacau,Tarde,Dom,Jan,7,1,2022-01-09,15:35:52.142000
18,Alimentação,18.2,Espresso,Noite,Dom,Jan,7,1,2022-01-09,18:20:11.841000
21,Alimentação,38.2,Latte,Noite,Dom,Jan,7,1,2022-01-09,21:09:25.701000
10,Alimentação,29.86,Americano,Manhã,Seg,Jan,1,1,2022-01-10,10:35:26.882000
14,Crédito,40.26,Cappuccino,Tarde,Seg,Jan,1,1,2022-01-10,14:10:42.759000
14,Crédito,29.2,Cacau,Tarde,Seg,Jan,1,1,2022-01-10,14:55:56.071000
18,Débito,37.28,Chocolate Quente,Noite,Seg,Jan,1,1,2022-01-10,18:05:44.238000
7,Débito,39.93,Cappuccino,Manhã,Ter,Jan,2,1,2022-01-11,07:31:33.667000
7,Débito,28.57,Americano,Manhã,Ter,Jan,2,1,2022-01-11,07:58:48.283000
9,Débito,39.36,Cappuccino,Manhã,Ter,Jan,2,1,2022-01-11,09:39:24.309000
10,Crédito,37.17,Americano com Leite,Manhã,Ter,Jan,2,1,2022-01-11,10:37:15.957000
14,Alimentação,27.58,Americano,Tarde,Ter,Jan,2,1,2022-01-11,14:36:48.099000
15,Pix,37.46,Cappuccino,Tarde,Ter,Jan,2,1,2022-01-11,15:00:02.550000
15,Débito,19.01,Espresso,Tarde,Ter,Jan,2,1,2022-01-11,15:56:17.590000
17,Pix,39.18,Americano com Leite,Tarde,Ter,Jan,2,1,2022-01-11,17:52:21.158000
20,Alimentação,30.0,Cortado,Noite,Ter,Jan,2,1,2022-01-11,20:59:10.416000
10,Pix,19.17,Espresso,Manhã,Qua,Jan,3,1,2022-01-12,10:27:35.136000
13,Alimentação,39.91,Cappuccino,Tarde,Qua,Jan,3,1,2022-01-12,13:54:15.263000
14,Pix,37.75,Americano com Leite,Tarde,Qua,Jan,3,1,2022-01-12,14:34:35.935000
7,Débito,29.37,Americano,Manhã,Qui,Jan,4,1,2022-01-13,07:00:47.764000
8,Alimentação,18.03,Espresso,Manhã,Qui,Jan,4,1,2022-01-13,08:41:24.760000
16,Crédito,18.23,Espresso,Tarde,Qui,Jan,4,1,2022-01-13,16:08:51.860000
17,Pix,28.67,Americano,Tarde,Qui,Jan,4,1,2022-01-13,17:20:43.713000
8,Débito,39.96,Chocolate Quente,Manhã,Sex,Jan,5,1,2022-01-14,08:32:21.209000
10,Crédito,38.92,Americano com Leite,Manhã,Sex,Jan,5,1,2022-01-14,10:08:15.864000
10,Crédito,29.51,Americano,Manhã,Sex,Jan,5,1,2022-01-14,10:50:19.502000
18,Pix,36.96,Americano com Leite,Noite,Sex,Jan,5,1,2022-01-14,18:33:48.849000
20,Pix,27.8,Americano,Noite,Sex,Jan,5,1,2022-01-14,20:03:45.772000
8,Alimentação,17.75,Espresso,Manhã,Sáb,Jan,6,1,2022-01-15,08:43:21.315000
9,Crédito,36.88,Cappuccino,Manhã,Sáb,Jan,6,1,2022-01-15,09:34:10.572000
9,Crédito,18.1,Espresso,Manhã,Sáb,Jan,6,1,2022-01-15,09:36:22.328000
9,Alimentação,37.84,Latte,Manhã,Sáb,Jan,6,1,2022-01-15,09:52:40.405000
13,Alimentação,40.53,Americano com Leite,Tarde,Sáb,Jan,6,1,2022-01-15,13:32:34.766000
13,Débito,19.19,Espresso,Tarde,Sáb,Jan,6,1,2022-01-15,13:59:51.645000
15,Crédito,38.56,Cappuccino,Tarde,Sáb,Jan,6,1,2022-01-15,15:00:08.430000
15,Alimentação,40.62,Cappuccino,Tarde,Sáb,Jan,6,1,2022-01-15,15:43:43.416000
15,Pix,30.33,Americano,Tarde,Sáb,Jan,6,1,2022-01-15,15:44:34.767000
8,Débito,40.19,Cappuccino,Manhã,Dom,Jan,7,1,2022-01-16,08:37:24.141000
9,Alimentação,29.94,Americano,Manhã,Dom,Jan,7,1,2022-01-16,09:37:09.170000
10,Pix,38.71,Latte,Manhã,Dom,Jan,7,1,2022-01-16,10:51:47.594000
13,Crédito,29.33,Americano,Tarde,Dom,Jan,7,1,2022-01-16,13:42:53.859000
15,Pix,30.34,Cacau,Tarde,Dom,Jan,7,1,2022-01-16,15:44:06.671000
16,Crédito,30.16,Cortado,Tarde,Dom,Jan,7,1,2022-01-16,16:27:18.120000
18,Débito,39.66,Americano com Leite,Noite,Dom,Jan,7,1,2022-01-16,18:12:17.469000
18,Pix,28.99,Cortado,Noite,Dom,Jan,7,1,2022-01-16,18:31:06.396000
19,Crédito,30.0,Americano,Noite,Dom,Jan,7,1,2022-01-16,19:50:14.519000
7,Débito,39.7,Cappuccino,Manhã,Seg,Jan,1,1,2022-01-17,07:12:17.176000
9,Débito,38.56,Americano com Leite,Manhã,Seg,Jan,1,1,2022-01-17,09:22:07.165000
13,Alimentação,37.9,Latte,Tarde,Seg,Jan,1,1,2022-01-17,13:19:32.716000
13,Débito,38.05,Cappuccino,Tarde,Seg,Jan,1,1,2022-01-17,13:55:51.706000
14,Alimentação,40.29,Cappuccino,Tarde,Seg,Jan,1,1,2022-01-17,14:43:49.762000
19,Alimentação,37.57,Americano com Leite,Noite,Seg,Jan,1,1,2022-01-17,19:51:25.439000
8,Crédito,37.05,Cappuccino,Manhã,Ter,Jan,2,1,2022-01-18,08:03:47.479000
8,Débito,40.52,Latte,Manhã,Ter,Jan,2,1,2022-01-18,08:27:31.918000
9,Pix,28.22,Cacau,Manhã,Ter,Jan,2,1,2022-01-18,09:02:35.063000
9,Débito,28.39,Cortado,Manhã,Ter,Jan,2,1,2022-01-18,09:54:13.564000
10,Pix,36.85,Americano com Leite,Manhã,Ter,Jan,2,1,2022-01-18,10:10:49.278000
10,Alimentação,39.95,Cappuccino,Manhã,Ter,Jan,2,1,2022-01-18,10:21:18.559000
10,Pix,39.67,Americano com Leite,Manhã,Ter,Jan,2,1,2022-01-18,10:40:00.258000
13,Crédito,37.46,Latte,Tarde,Ter,Jan,2,1,2022-01-18,13:01:47.510000
14,Débito,40.42,Americano com Leite,Tarde,Ter,Jan,2,1,2022-01-18,14:26:10.044000
14,Alimentação,38.12,Cappuccino,Tarde,Ter,Jan,2,1,2022-01-18,14:39:58.115000
16,Alimentação,18.32,Espresso,Tarde,Ter,Jan,2,1,2022-01-18,16:18:52.354000
16,Alimentação,18.8,Espresso,Tarde,Ter,Jan,2,1,2022-01-18,16:34:11.361000
17,Crédito,38.5,Chocolate Quente,Tarde,Ter,Jan,2,1,2022-01-18,17:27:31.952000
9,Crédito,37.26,Latte,Manhã,Qua,Jan,3,1,2022-01-19,09:42:29.162000
9,Pix,30.08,Americano,Manhã,Qua,Jan,3,1,2022-01-19,09:54:00.260000
10,Pix,38.66,Cappuccino,Manhã,Qua,Jan,3,1,2022-01-19,10:44:32.797000
13,Débito,37.91,Cappuccino,Tarde,Qua,Jan,3,1,2022-01-19,13:29:20.148000
7,Pix,30.31,Cacau,Manhã,Qui,Jan,4,1,2022-01-20,07:48:00.681000
10,Pix,27.7,Americano,Manhã,Qui,Jan,4,1,2022-01-20,10:48:57.911000
12,Crédito,19.16,Espresso,Tarde,Qui,Jan,4,1,2022-01-20,12:31:13.647000
12,Débito,40.36,Chocolate Quente,Tarde,Qui,Jan,4,1,2022-01-20,12:48:54.940000
12,Débito,37.17,Cappuccino,Tarde,Qui,Jan,4,1,2022-01-20,12:49:20.661000
13,Alimentação,38.72,Cappuccino,Tarde,Qui,Jan,4,1,2022-01-20,13:12:52.393000
13,Pix,38.48,Cappuccino,Tarde,Qui,Jan,4,1,2022-01-20,13:38:09.648000
14,Pix,40.53,Latte,Tarde,Qui,Jan,4,1,2022-01-20,14:14:06.956000
14,Pix,38.62,Cappuccino,Tarde,Qui,Jan,4,1,2022-01-20,14:14:19.123000
14,Crédito,38.66,Americano com Leite,Tarde,Qui,Jan,4,1,2022-01-20,14:39:01.590000
15,Pix,38.25,Cappuccino,Tarde,Qui,Jan,4,1,2022-01-20,15:59:55.667000
17,Crédito,30.04,Americano,Tarde,Qui,Jan,4,1,2022-01-20,17:42:41.174000
10,Crédito,27.75,Americano,Manhã,Sex,Jan,5,1,2022-01-21,10:29:56.930000
12,Débito,39.72,Latte,Tarde,Sex,Jan,5,1,2022-01-21,12:03:54.555000
14,Débito,39.35,Latte,Tarde,Sex,Jan,5,1,2022-01-21,14:57:38.203000
15,Débito,17.82,Espresso,Tarde,Sex,Jan,5,1,2022-01-21,15:10:30.950000
16,Alimentação,39.06,Latte,Tarde,Sex,Jan,5,1,2022-01-21,16:13:17.976000
6,Pix,37.82,Chocolate Quente,Manhã,Sáb,Jan,6,1,2022-01-22,06:20:14.474000
13,Alimentação,18.85,Espresso,Tarde,Sáb,Jan,6,1,2022-01-22,13:55:20.997000
17,Pix,18.84,Espresso,Tarde,Sáb,Jan,6,1,2022-01-22,17:39:43.386000
17,Crédito,39.93,Latte,Tarde,Sáb,Jan,6,1,2022-01-22,17:47:17.451000
18,Pix,36.88,Cappuccino,Noite,Sáb,Jan,6,1,2022-01-22,18:13:52.027000
20,Alimentação,37.29,Cappuccino,Noite,Sáb,Jan,6,1,2022-01-22,20:27:43.520000
20,Pix,29.36,Cortado,Noite,Sáb,Jan,6,1,2022-01-22,20:37:41.727000
9,Alimentação,37.97,Chocolate Quente,Manhã,Dom,Jan,7,1,2022-01-23,09:08:01.286000
10,Débito,28.5,Cacau,Manhã,Dom,Jan,7,1,2022-01-23,10:16:39.278000
11,Crédito,38.91,Cappuccino,Manhã,Dom,Jan,7,1,2022-01-23,11:27:43.970000
14,Alimentação,38.98,Latte,Tarde,Dom,Jan,7,1,2022-01-23,14:35:09.126000
6,Crédito,28.2,Americano,Manhã,Seg,Jan,1,1,2022-01-24,06:51:28.369000
9,Alimentação,28.51,Americano,Manhã,Seg,Jan,1,1,2022-01-24,09:39:48.366000
9,Pix,39.34,Americano com Leite,Manhã,Seg,Jan,1,1,2022-01-24,09:52:36.268000
10,Crédito,37.47,Latte,Manhã,Seg,Jan,1,1,2022-01-24,10:45:41.154000
13,Crédito,30.22,Americano,Tarde,Seg,Jan,1,1,2022-01-24,13:27:27.769000
14,Débito,40.12,Latte,Tarde,Seg,Jan,1,1,2022-01-24,14:04:47.395000
14,Débito,38.68,Americano com Leite,Tarde,Seg,Jan,1,1,2022-01-24,14:10:32.869000
14,Pix,30.08,Americano,Tarde,Seg,Jan,1,1,2022-01-24,14:51:54.757000
13,Pix,36.77,Chocolate Quente,Tarde,Ter,Jan,2,1,2022-01-25,13:09:45.499000
21,Alimentação,38.18,Cappuccino,Noite,Ter,Jan,2,1,2022-01-25,21:11:39.922000
7,Débito,19.29,Espresso,Manhã,Qua,Jan,3,1,2022-01-26,07:59:40.943000
8,Débito,30.27,Americano,Manhã,Qua,Jan,3,1,2022-01-26,08:49:45.254000
10,Débito,18.61,Espresso,Manhã,Qua,Jan,3,1,2022-01-26,10:24:49.086000
12,Alimentação,18.7,Espresso,Tarde,Qua,Jan,3,1,2022-01-26,12:54:31.556000
13,Débito,39.29,Americano com Leite,Tarde,Qua,Jan,3,1,2022-01-26,13:56:41.328000
15,Alimentação,40.48,Cappuccino,Tarde,Qua,Jan,3,1,2022-01-26,15:19:37.425000
15,Débito,18.91,Espresso,Tarde,Qua,Jan,3,1,2022-01-26,15:43:33.785000
15,Alimentação,38.66,Latte,Tarde,Qua,Jan,3,1,2022-01-26,15:56:48.780000
17,Crédito,40.46,Latte,Tarde,Qua,Jan,3,1,2022-01-26,17:09:16.680000
8,Débito,36.97,Latte,Manhã,Qui,Jan,4,1,2022-01-27,08:03:03.739000
10,Alimentação,27.99,Cortado,Manhã,Qui,Jan,4,1,2022-01-27,10:53:41.766000
13,Alimentação,39.94,Chocolate Quente,Tarde,Qui,Jan,4,1,2022-01-27,13:24:51.156000
15,Pix,27.69,Cacau,Tarde,Qui,Jan,4,1,2022-01-27,15:15:40.103000
17,Crédito,27.7,Cacau,Tarde,Qui,Jan,4,1,2022-01-27,17:08:16.026000
20,Crédito,29.32,Americano,Noite,Qui,Jan,4,1,2022-01-27,20:33:37.502000
7,Alimentação,38.71,Americano com Leite,Manhã,Sex,Jan,5,1,2022-01-28,07:01:48.962000
8,Alimentação,38.59,Cappuccino,Manhã,Sex,Jan,5,1,2022-01-28,08:31:19.612000
12,Pix,29.53,Americano,Tarde,Sex,Jan,5,1,2022-01-28,12:17:08.245000
14,Crédito,40.16,Cappuccino,Tarde,Sex,Jan,5,1,2022-01-28,14:02:42.064000
15,Crédito,29.45,Cortado,Tarde,Sex,Jan,5,1,2022-01-28,15:07:13.886000
17,Alimentação,39.76,Cappuccino,Tarde,Sex,Jan,5,1,2022-01-28,17:19:45.341000
9,Alimentação,18.82,Espresso,Manhã,Sáb,Jan,6,1,2022-01-29,09:07:29.377000
9,Pix,39.66,Cappuccino,Manhã,Sáb,Jan,6,1,2022-01-29,09:47:30.009000
9,Débito,40.09,Cappuccino,Manhã,Sáb,Jan,6,1,2022-01-29,09:52:01.712000
10,Débito,39.6,Cappuccino,Manhã,Sáb,Jan,6,1,2022-01-29,10:13:43.120000
10,Débito,17.67,Espresso,Manhã,Sáb,Jan,6,1,2022-01-29,10:33:52.213000
10,Débito,36.85,Americano com Leite,Manhã,Sáb,Jan,6,1,2022-01-29,10:51:07.312000
12,Alimentação,28.66,Cortado,Tarde,Sáb,Jan,6,1,2022-01-29,12:51:44.715000
13,Crédito,17.79,Espresso,Tarde,Sáb,Jan,6,1,2022-01-29,13:07:27.784000
15,Alimentação,17.93,Espresso,Tarde,Sáb,Jan,6,1,2022-01-29,15:50:18.581000
15,Débito,28.96,Cacau,Tarde,Sáb,Jan,6,1,2022-01-29,15:53:16.200000
16,Pix,38.44,Latte,Tarde,Sáb,Jan,6,1,2022-01-29,16:35:33.551000
19,Pix,18.32,Espresso,Noite,Sáb,Jan,6,1,2022-01-29,19:28:33.280000
20,Alimentação,39.29,Latte,Noite,Sáb,Jan,6,1,2022-01-29,20:43:08.174000
7,Pix,39.55,Cappuccino,Manhã,Dom,Jan,7,1,2022-01-30,07:49:23.130000
8,Crédito,30.23,Cortado,Manhã,Dom,Jan,7,1,2022-01-30,08:12:09.509000
8,Débito,36.95,Cappuccino,Manhã,Dom,Jan,7,1,2022-01-30,08:28:50.379000
8,Débito,18.11,Espresso,Manhã,Dom,Jan,7,1,2022-01-30,08:34:06.664000
9,Débito,37.14,Cappuccino,Manhã,Dom,Jan,7,1,2022-01-30,09:03:57.314000
9,Alimentação,39.98,Americano com Leite,Manhã,Dom,Jan,7,1,2022-01-30,09:49:33.425000
11,Pix,37.61,Chocolate Quente,Manhã,Dom,Jan,7,1,2022-01-30,11:21:00.899000
13,Pix,29.17,Cacau,Tarde,Dom,Jan,7,1,2022-01-30,13:01:20.527000
15,Pix,28.84,Americano,Tarde,Dom,Jan,7,1,2022-01-30,15:05:21.662000
18,Crédito,39.23,Cappuccino,Noite,Dom,Jan,7,1,2022-01-30,18:56:07.622000
7,Crédito,30.21,Cacau,Manhã,Seg,Jan,1,1,2022-01-31,07:39:52.969000
8,Débito,40.62,Latte,Manhã,Seg,Jan,1,1,2022-01-31,08:10:23.463000
8,Alimentação,37.51,Cappuccino,Manhã,Seg,Jan,1,1,2022-01-31,08:23:44.586000
11,Pix,39.58,Chocolate Quente,Manhã,Seg,Jan,1,1,2022-01-31,11:46:17.302000
17,Alimentação,28.81,Americano,Tarde,Seg,Jan,1,1,2022-01-31,17:26:13.365000
19,Débito,17.95,Espresso,Noite,Seg,Jan,1,1,2022-01-31,19:26:14.760000
6,Débito,29.33,Americano,Manhã,Ter,Fev,2,2,2022-02-01,06:58:14.940000
8,Pix,28.5,Cortado,Manhã,Ter,Fev,2,2,2022-02-01,08:18:42.643000
10,Pix,28.39,Americano,Manhã,Ter,Fev,2,2,2022-02-01,10:43:53.401000
14,Débito,18.81,Espresso,Tarde,Ter,Fev,2,2,2022-02-01,14:41:48.932000
17,Crédito,18.67,Espresso,Tarde,Ter,Fev,2,2,2022-02-01,17:04:30.588000
6,Crédito,39.56,Latte,Manhã,Qua,Fev,3,2,2022-02-02,06:35:26.012000
8,Alimentação,17.97,Espresso,Manhã,Qua,Fev,3,2,2022-02-02,08:12:54.779000
8,Pix,28.51,Americano,Manhã,Qua,Fev,3,2,2022-02-02,08:22:51.064000
13,Crédito,40.12,Chocolate Quente,Tarde,Qua,Fev,3,2,2022-02-02,13:03:40.908000
13,Pix,38.97,Americano com Leite,Tarde,Qua,Fev,3,2,2022-02-02,13:19:10.720000
13,Alimentação,37.3,Latte,Tarde,Qua,Fev,3,2,2022-02-02,13:39:19.198000
20,Pix,39.94,Cappuccino,Noite,Qua,Fev,3,2,2022-02-02,20:37:09.770000
6,Crédito,37.15,Cappuccino,Manhã,Qui,Fev,4,2,2022-02-03,06:51:26.409000
7,Pix,37.21,Americano com Leite,Manhã,Qui,Fev,4,2,2022-02-03,07:33:24.472000
7,Pix,30.25,Cacau,Manhã,Qui,Fev,4,2,2022-02-03,07:52:58.154000
8,Crédito,38.73,Latte,Manhã,Qui,Fev,4,2,2022-02-03,08:12:40.554000
8,Alimentação,36.79,Cappuccino,Manhã,Qui,Fev,4,2,2022-02-03,08:31:52.568000
11,Alimentação,39.25,Cappuccino,Manhã,Qui,Fev,4,2,2022-02-03,11:06:29.717000
13,Débito,37.67,Americano com Leite,Tarde,Qui,Fev,4,2,2022-02-03,13:57:46.590000
14,Débito,18.15,Espresso,Tarde,Qui,Fev,4,2,2022-02-03,14:12:23.653000
14,Crédito,29.91,Cacau,Tarde,Qui,Fev,4,2,2022-02-03,14:36:34.506000
15,Alimentação,29.93,Americano,Tarde,Qui,Fev,4,2,2022-02-03,15:34:06.142000
18,Débito,29.83,Cortado,Noite,Qui,Fev,4,2,2022-02-03,18:20:31.317000
9,Alimentação,29.78,Cortado,Manhã,Sex,Fev,5,2,2022-02-04,09:07:29.058000
9,Pix,37.67,Americano com Leite,Manhã,Sex,Fev,5,2,2022-02-04,09:27:48.828000
10,Débito,27.89,Americano,Manhã,Sex,Fev,5,2,2022-02-04,10:53:39.235000
13,Pix,40.12,Cappuccino,Tarde,Sex,Fev,5,2,2022-02-04,13:14:53.325000
16,Crédito,37.5,Latte,Tarde,Sex,Fev,5,2,2022-02-04,16:14:29.121000
18,Alimentação,27.92,Americano,Noite,Sex,Fev,5,2,2022-02-04,18:28:28.613000
19,Crédito,40.5,Cappuccino,Noite,Sex,Fev,5,2,2022-02-04,19:02:44.029000
7,Pix,27.97,Americano,Manhã,Sáb,Fev,6,2,2022-02-05,07:05:48.714000
7,Débito,39.58,Cappuccino,Manhã,Sáb,Fev,6,2,2022-02-05,07:48:56.860000
10,Crédito,38.54,Latte,Manhã,Sáb,Fev,6,2,2022-02-05,10:54:31.902000
13,Pix,19.26,Espresso,Tarde,Sáb,Fev,6,2,2022-02-05,13:44:43.440000
13,Débito,27.7,Cortado,Tarde,Sáb,Fev,6,2,2022-02-05,13:58:44.103000
18,Pix,17.74,Espresso,Noite,Sáb,Fev,6,2,2022-02-05,18:20:54.083000
21,Pix,29.62,Americano,Noite,Sáb,Fev,6,2,2022-02-05,21:59:23.664000
13,Alimentação,38.96,Americano com Leite,Tarde,Dom,Fev,7,2,2022-02-06,13:45:17.108000
18,Alimentação,38.1,Chocolate Quente,Noite,Dom,Fev,7,2,2022-02-06,18:07:14.132000
9,Débito,27.65,Cortado,Manhã,Seg,Fev,1,2,2022-02-07,09:16:51.868000
13,Alimentação,39.52,Americano com Leite,Tarde,Seg,Fev,1,2,2022-02-07,13:48:31.554000
14,Alimentação,39.79,Americano com Leite,Tarde,Seg,Fev,1,2,2022-02-07,14:01:08.466000
15,Alimentação,29.51,Americano,Tarde,Seg,Fev,1,2,2022-02-07,15:14:04.626000
15,Débito,18.25,Espresso,Tarde,Seg,Fev,1,2,2022-02-07,15:55:27.484000
17,Pix,38.15,Cappuccino,Tarde,Seg,Fev,1,2,2022-02-07,17:11:17.547000
20,Crédito,39.16,Americano com Leite,Noite,Seg,Fev,1,2,2022-02-07,20:56:05.033000
6,Pix,19.0,Espresso,Manhã,Ter,Fev,2,2,2022-02-08,06:45:16.877000
11,Crédito,27.47,Cacau,Manhã,Ter,Fev,2,2,2022-02-08,11:27:25.270000
14,Alimentação,28.07,Cacau,Tarde,Ter,Fev,2,2,2022-02-08,14:33:55.191000
16,Crédito,18.83,Espresso,Tarde,Ter,Fev,2,2,2022-02-08,16:43:59.815000
16,Pix,29.46,Cortado,Tarde,Ter,Fev,2,2,2022-02-08,16:56:29.779000
16,Pix,28.11,Americano,Tarde,Ter,Fev,2,2,2022-02-08,16:58:37.088000
17,Débito,28.63,Cacau,Tarde,Ter,Fev,2,2,2022-02-08,17:40:01.832000
18,Crédito,17.61,Espresso,Noite,Ter,Fev,2,2,2022-02-08,18:59:17.331000
10,Pix,28.56,Americano,Manhã,Qua,Fev,3,2,2022-02-09,10:56:41.395000
13,Alimentação,40.44,Americano com Leite,Tarde,Qua,Fev,3,2,2022-02-09,13:23:45.151000
14,Alimentação,39.19,Americano com Leite,Tarde,Qua,Fev,3,2,2022-02-09,14:05:47.893000
